PLAYER_ID,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
203109,9600,4343,1635,997,339,7973,3316,1834,1430,866,1039
1630595,4588,1121,1530,215,125,3879,1730,855,729,794,208
203552,6665,1393,1309,436,93,5205,2448,724,627,659,660
201939,25386,4819,6540,1553,265,18356,8648,4424,4032,3187,1026
1642359,30,18,5,3,2,31,10,6,4,4,18
1630700,1654,873,631,357,91,1442,681,233,143,271,196
1642368,24,21,2,1,5,13,10,5,4,2,4
203076,20239,9005,2190,1092,1925,14499,7570,5915,4689,1686,838
1631098,395,175,71,43,24,403,160,66,37,37,112
1631120,68,32,34,8,4,65,25,13,9,19,36
201942,25292,5208,4869,1170,393,19315,9064,7778,6549,2379,1187
1642484,30,12,14,7,2,33,11,2,2,5,11
1628978,4849,1953,1317,543,120,4046,1701,583,456,668,458
1631217,491,512,64,58,49,346,201,146,88,72,104
1641711,1287,325,166,82,12,1092,454,206,177,133,114
1631172,468,237,114,39,19,422,179,55,40,63,109
1642265,219,50,98,20,1,211,93,15,8,53,49
203915,11161,2605,4370,610,226,8760,3642,3129,2493,1347,843
1629029,14286,4290,4083,645,224,10346,4820,4099,3091,1956,500
1629652,4442,1403,585,348,150,3706,1511,868,686,406,363
1630245,2856,811,912,233,109,2273,1140,344,266,379,279
1630288,436,139,156,50,18,375,173,62,46,35,96
1628408,700,337,204,65,35,670,270,116,75,93,130
203083,13570,13076,1484,1383,1358,10542,5687,4359,2173,2064,1080
1630537,1348,467,231,109,27,1190,483,225,183,158,177
1642505,36,26,5,5,0,30,12,2,2,4,21
1630561,231,111,47,27,8,218,91,43,33,32,55
1627739,3116,1355,1617,597,171,2907,1271,425,313,634,407
1642346,511,267,57,44,40,477,205,39,19,40,74
201142,31937,8141,5143,1208,1340,21861,11025,8605,7603,3710,1170
1631105,2371,2111,431,131,195,1508,985,580,401,357,206
1631106,1661,1011,198,224,116,1408,656,282,209,186,161
1641744,610,548,65,36,85,433,251,127,90,88,66
1630162,9097,2017,1600,504,233,7167,3200,1976,1588,1099,381
1642399,0,0,1,0,0,0,0,0,0,0,2
1642348,445,148,69,45,16,378,172,46,32,49,44
1630556,745,451,134,86,60,670,283,71,55,88,214
1631165,1000,344,211,177,93,712,341,128,103,109,153
203954,12523,4987,1658,411,738,8212,4117,4538,3757,1547,452
1630623,55,9,12,3,1,52,17,10,8,8,7
1629234,3008,2316,508,178,392,2015,1212,765,555,446,516
1641787,469,240,87,36,20,362,166,123,89,57,62
203957,2150,690,768,148,60,1807,790,409,312,410,355
1628981,1113,904,199,65,147,813,446,325,214,199,289
1642271,690,440,140,48,22,518,260,143,93,102,72
1627827,6009,3235,1041,598,324,5045,2184,665,478,632,720
1641745,68,27,16,8,3,103,26,2,1,4,39
1642280,11,4,0,0,0,11,4,3,3,1,6
1630201,1564,490,544,158,31,1428,563,261,194,211,286
1631323,2158,793,309,134,66,1781,769,260,213,229,259
1628368,12858,2380,3654,847,246,10122,4749,3218,2427,1623,593
1642402,46,30,9,3,3,37,16,19,13,6,22
1628365,2656,817,1111,286,70,2389,1124,444,325,451,255
1642277,103,71,19,18,11,92,35,22,18,12,50
