PLAYER_ID,SCHOOL_NAME
1630530,"Rice, Virginia"
1627749,Washington
1627750,Kentucky
1631099,Iowa
1631200,Iowa
1629004,Kansas
1631250,
1626204,Wyoming
1629614,
1630174,Vanderbilt
1641803,
1627777,Iowa State
1630227,
1630192,
1641936,
1629669,Washington
203994,
1626220,
1626143,Duke
1629643,Auburn
1629006,Georgia Tech
1630168,Southern California
1630171,Auburn
1642439,
203482,Gonzaga
1626162,Kansas
101108,Wake Forest
1626166,Murray State
203901,Louisiana-Lafayette
1627780,Oregon State
1641809,"Rice, Southern California"
1641763,Tennessee
1629618,"Penn State, Siena"
1630590,Vanderbilt
1631342,
203486,Duke
1641764,"Illinois, Santa Clara"
1627751,Utah
1629673,Michigan
1641854,
1629645,Southern California
1629008,Missouri
1626171,Arkansas
204001,
1642366,
1630695,
203939,Stanford
1626181,California-Los Angeles
1627752,Baylor
1630202,
1641765,"Clemson, Marquette"
1642389,
1630243,
1629674,Utah State
1630193,Kentucky
1631311,
203944,Kentucky
1641871,
1630559,"Oklahoma, Wichita State"
1629629,Duke
1630194,DePaul
1642024,
1641810,
1629675,Louisiana State
1631197,Seton Hall
1630208,Kentucky
1626196,
1642258,
1641857,
1629130,
1629011,
1631115,Fresno State
1630526,Villanova
1631223,Colorado State
1631157,Winter Park
1642050,
1626179,Louisville
1641712,
1626156,Ohio State
1630346,
1627734,Gonzaga
1642275,
1641766,Connecticut
1630611,
1642259,
1631204,Houston
1631248,
203471,
1630578,
1641729,Ohio State
1629012,Alabama
1629013,Wichita State
1630545,"Illinois, Texas Tech"
1630549,North Carolina
1631101,
1642347,
1641767,Belmont
1642263,
1627783,New Mexico State
1627732,Louisiana State
1629014,
1642354,
1630579,Texas
203935,Oklahoma State
1630696,
1630188,Maryland
1642449,
1641890,
1631095,Auburn
1641733,Arkansas
1631110,Baylor
1642285,
1630311,
1630531,Tennessee
1641815,
1630205,
1630191,Washington
1631124,Gonzaga
1629622,"DePaul, Lewis"
1630591,Gonzaga
1631306,
1630256,
1628369,Duke
1630678,Austin Peay
202066,Louisiana State
1631207,Arizona
1628464,
1630560,Louisiana State
1641708,
1641709,
1630679,Oregon State
202691,Washington State
202684,Texas
1630550,Auburn
1629680,Washington
1630214,
1631166,Gonzaga
1641772,Kansas State
1642260,
1631210,
1630167,Dayton
1626157,Kentucky
1642422,
1631247,
1629018,
1631131,"Kentucky, West Virginia"
200782,Texas
1626167,Texas
1641816,Clemson
1642281,
1630649,
202685,
1627832,
1629020,Kentucky
1630170,Florida State
1629216,
1641774,
202696,Southern California
1629731,
1630532,Michigan
1629021,Michigan
1631133,Colorado
1641716,Houston
1629022,Miami (FL)
1641717,Kentucky
1630811,
1641775,Arkansas
1642266,
1642276,
1629023,Kentucky
1631102,Kentucky
1630322,
1630570,Louisiana State
1641817,
1631212,California-Los Angeles
1642377,
1641705,
1631104,Notre Dame
201566,California-Los Angeles
1630762,
1629632,North Carolina
1628401,Colorado
1641727,Duke
1641715,Virginia
1630598,Maryland
203952,Kansas
1631214,"Oklahoma, Wake Forest"
1630314,
1642262,
1629684,Tennessee
1631114,Nova
1631119,Arkansas
1629026,Texas Christian
1631109,Duke
1631466,
1630172,Florida State
1630533,Stanford
1629057,Texas A&M
1631246,Virginia Commonwealth
1629627,Duke
1630592,Kansas
1630164,Memphis
1631209,Miami (FL)
1626153,Utah
1627824,SPO Rouen Basket
1642385,
1642443,
1629027,Oklahoma
1627826,KK Mega Vizura
1641783,
1628427,
203967,
