,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
33,1641736,Virginia,30.5,38.0,10.99,3.33,3.14,,Reece Beekman,PG,73.25,196.44,78.5,100.0,8.5,9.0,186,78,126,66,4,214,70,42,32,42,72
34,1641736,Virginia,30.0,36.5,10.86,3.08,2.94,,Reece Beekman,PG,73.5,190.60,79.0,100.5,8.5,8.25,186,78,126,66,4,214,70,42,32,42,72
35,1641736,Virginia,30.0,36.5,10.86,3.08,2.94,,Reece Beekman,PG,73.25,196.44,78.5,100.0,8.5,9.0,186,78,126,66,4,214,70,42,32,42,72
36,1641710,Arkansas,32.0,39.0,11.04,,3.35,,Anthony Black,PG,77.75,210.00,79.5,102.5,8.25,9.5,1052,369,331,121,69,867,377,277,199,195,147
37,1629626,Oregon,,,,,,,Bol Bol,C,84.75,208,91.0,115.5,9.25,9.5,1243,709,126,55,153,925,504,183,137,178,202
38,1641737,California-Los Angeles,,,,,,,Adem Bona,C,80.25,243.40,,110.5,9.25,10.0,337,245,27,26,69,192,135,100,67,61,58
39,1641737,California-Los Angeles,,,,,,,Adem Bona,C,80.25,243.20,87.75,108.0,9.5,10.0,337,245,27,26,69,192,135,100,67,61,58
40,1641737,California-Los Angeles,35.0,40.0,11.01,3.01,3.15,,Adem Bona,C,80.25,243.40,,110.5,9.25,10.0,337,245,27,26,69,192,135,100,67,61,58
41,1641737,California-Los Angeles,35.0,40.0,11.01,3.01,3.15,,Adem Bona,C,80.25,243.20,87.75,108.0,9.5,10.0,337,245,27,26,69,192,135,100,67,61,58
42,1626164,Kentucky,27.5,34.5,10.27,2.75,3.28,8.0,Devin Booker,SG,76.5,205.8,80.25,102.5,8.75,9.0,16452,2718,3522,577,190,12390,5749,4042,3530,2035,673
43,1630527,Kentucky,,,,,,,Brandon Boston,SF,77.75,188.00,82.75,104.0,9.0,9.75,1101,327,176,99,30,989,407,228,178,119,147
44,1628449,nan,,,,,,,Chris Boucher,PF,80.0,182.2,88.0,110.5,9.25,10.5,3612,2084,201,197,384,2629,1284,864,673,221,407
45,1628396,North Carolina,24.5,27.5,11.79,2.99,3.44,5.0,Tony Bradley,C,81.25,248.8,89.0,112.5,9.5,9.5,1153,1010,133,59,138,790,506,199,134,139,235
46,1631103,Ohio State,29.0,35.0,11.38,3.09,3.17,,Malaki Branham,SG,76.0,194.80,82.0,102.5,8.5,9.75,1598,380,321,71,17,1429,627,166,140,201,188
47,1631128,Kansas,33.5,40.0,11.0,3.13,3.16,,Christian Braun,SG,77.5,209.20,78.5,99.5,8.0,8.5,2178,897,396,168,89,1593,841,412,310,171,237
48,1641779,nan,25.0,32.0,11.14,3.0,3.16,,Jalen Bridges,SF,78.75,213.40,82.0,105.0,9.0,10.0,9,4,0,0,0,7,2,4,3,4,8
49,1628970,Michigan State,,,,,,,Miles Bridges,SF,77.25,220.4,81.5,103.5,9.0,9.75,6642,2627,1135,322,294,5399,2493,1119,924,675,424
50,1629052,Syracuse,34.0,37.5,11.3,3.18,3.48,11.0,Oshae Brissett,SF-PF,79.0,203.2,84.0,104.0,9.0,9.5,1530,899,189,123,74,1204,504,481,334,133,233
51,1627763,Virginia,30.5,35.5,10.77,2.64,3.31,,Malcolm Brogdon,SG,75.75,223,82.5,98.0,9.0,10.25,7077,1917,2156,370,108,5621,2601,1285,1123,789,463
52,1628415,Oregon,31.0,37.5,11.14,3.24,3.21,16.0,Dillon Brooks,SG-SF,77.0,220.2,78.0,100.5,8.25,9.25,6970,1594,982,449,124,6173,2588,1122,902,704,492
53,1628971,Miami (FL),32.5,38.0,11.11,3.44,3.2,17.0,Bruce Brown,SG-PG,75.5,194.6,81.0,98.5,8.5,8.5,5111,2377,1393,511,250,4213,1988,991,772,629,565
54,1627759,California,,,,,,,Jaylen Brown,SG-SF,77.25,222.8,83.75,102.5,8.75,9.0,11436,3208,1589,612,228,8989,4298,2336,1696,1277,603
55,1641738,Missouri,28.5,32.0,11.39,3.23,3.33,,Kobe Brown,PF,78.5,252.20,84.75,106.5,8.75,9.75,166,127,49,19,10,162,70,9,6,21,84
56,1629650,California-Los Angeles,27.0,31.0,11.95,3.3,3.51,,Moses Brown,C,85.25,237.2,88.75,113.0,9.5,10.25,1260,1119,32,71,123,849,501,475,258,149,252
57,1628973,Villanova,29.0,37.0,10.59,3.11,3.15,7.0,Jalen Brunson,PG,73.0,198.4,76.0,96.0,8.25,9.25,8821,1549,2449,351,48,6631,3241,1896,1561,850,487
