,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP,PER
34,203484,Georgia,29.0,34.5,10.6,3.12,Kentavious Caldwell-Pope,SG,76.5,203.6,80.0,100.5,10172,2708,1652,1057,265,8479,3627,1685,1385,923,912,10.722587719298245
35,1641739,Georgia,28.5,33.0,10.7,3.41,Toumani Camara,PF,79.0,220.40,84.5,107.0,1409,793,262,182,83,1154,525,225,166,193,148,12.486486486486486
36,1642267,nan,28.5,36.5,11.28,3.16,Bub Carrington,PG,75.75,194.80,80.0,99.0,807,341,364,54,21,748,300,85,69,141,82,11.975609756097562
37,1642269,nan,35.0,42.0,10.63,2.87,Devin Carter,SG,74.25,193.00,80.75,98.0,138,76,41,21,4,127,47,44,26,18,36,4.555555555555555
38,1628975,West Virginia,29.0,36.5,11.04,3.18,Jevon Carter,PG,72.25,196.2,76.25,95.0,2422,797,747,266,113,2233,879,157,126,274,478,5.619246861924686
39,1642264,nan,28.5,37.0,10.93,3.19,Stephon Castle,SG,77.5,210.00,81.0,102.0,1190,297,332,74,22,988,423,344,249,177,81,13.308641975308642
40,1630577,St. John's (NY),26.0,32.0,12.38,3.2,Julian Champagnie,SF,78.5,217.40,82.0,106.5,1649,644,234,121,87,1327,558,220,188,153,190,9.373684210526315
41,1630551,Pittsburgh,27.0,35.0,11.94,3.34,Justin Champagnie,PF,77.75,206.40,81.5,104.0,736,492,98,85,52,586,283,97,71,72,123,8.634146341463415
42,1642279,nan,29.0,35.5,11.74,3.1,Ulrich Chomche,C,82.25,232.40,88.0,109.0,5,8,2,0,1,5,2,2,1,2,7,1.4285714285714286
43,1642353,nan,32.5,35.5,11.07,3.07,Cam Christie,SG,76.5,190.40,80.0,101.5,18,12,6,5,1,24,7,4,2,2,13,1.6153846153846154
44,1631108,Michigan State,32.0,37.5,10.82,3.07,Max Christie,SG,76.25,189.20,80.75,102.5,1910,733,373,157,86,1527,651,366,310,224,264,7.965909090909091
45,1630528,Arizona State,29.5,37.5,11.32,3.14,Josh Christopher,SG,75.25,214.80,81.25,101.0,987,266,231,103,31,860,388,179,132,180,152,6.046052631578948
46,1631321,nan,30.5,35.5,11.24,3.31,Sidy Cissoko,SF,77.5,223.80,81.75,104.0,109,64,40,11,5,93,42,33,18,25,56,2.4642857142857144
47,1629634,San Jose State,34.0,40.5,10.61,3.15,Brandon Clarke,SF,79.25,207.2,80.25,102.0,3136,1683,409,222,246,2209,1338,586,409,221,307,14.420195439739414
48,203903,Tulsa,33.0,38.5,10.76,3.28,Jordan Clarkson,PG,75.25,186.3,80.0,98.0,14231,2927,2568,718,138,12115,5315,2339,1935,1640,905,12.970165745856354
49,1629651,Georgia,31.5,36.5,11.26,3.36,Nic Claxton,C,82.0,216.6,86.5,110.0,3214,2397,535,221,534,2194,1395,774,416,341,311,17.372990353697748
50,1642270,nan,25.5,29.0,12.06,3.46,Donovan Clingan,C,85.75,282.00,90.75,115.0,436,527,77,34,110,334,180,104,62,72,67,13.671641791044776
51,1642268,nan,30.0,34.0,10.77,3.04,Isaiah Collier,PG,74.5,204.60,76.75,97.5,615,235,446,66,16,555,234,154,105,208,71,11.267605633802816
52,1628381,nan,33.0,37.5,11.66,3.27,John Collins,PF,80.25,225.2,83.25,106.5,7553,3805,697,288,478,5380,2936,1502,1189,724,472,19.78813559322034
53,201144,Ohio State,35.5,40.5,11.63,3.09,Mike Conley,PG,71.0,175,77.75,94.5,17268,3636,7075,1676,256,13814,6045,3771,3113,2283,1239,15.497175141242938
54,1626192,Notre Dame,37.5,44.0,10.58,3.2,Pat Connaughton,SG,76.0,215,80.0,96.0,3579,2023,829,283,159,2990,1309,362,280,329,595,8.035294117647059
55,1641741,Wichita State,30.5,37.0,11.2,3.33,Ricky Council IV,SF,77.0,208.00,81.0,103.0,705,260,113,40,14,575,231,224,176,57,105,6.504761904761905
56,203109,Marquette,31.0,34.5,11.45,3.37,Jae Crowder,SF,76.75,241.2,81.25,99.5,9600,4343,1635,997,339,7973,3316,1834,1430,866,1039,10.574590952839268
57,201939,Davidson,29.5,35.5,11.07,3.28,Stephen Curry,PG-SG,74.0,181,75.5,97.0,25386,4819,6540,1553,265,18356,8648,4424,4032,3187,1026,24.635477582846004
58,1642359,nan,29.0,36.0,11.84,3.21,Pacome Dadiet,SF,79.75,216.8,81.0,107.5,30,18,5,3,2,31,10,6,4,4,18,1.7222222222222223
59,1630700,nan,29.0,34.0,10.81,3.22,Dyson Daniels,SG,78.0,195.20,82.5,105.0,1654,873,631,357,91,1442,681,233,143,271,196,12.673469387755102
60,1642368,nan,27.0,33.0,11.55,3.23,N'Faly Dante,C,82.0,260.20,90.0,111.0,24,21,2,1,5,13,10,5,4,2,4,11.75
61,1631120,Alabama,30.0,37.0,11.38,3.26,JD Davison,PG,72.5,191.80,78.5,99.5,68,32,34,8,4,65,25,13,9,19,36,2.3055555555555554
62,201942,Southern California,29.0,38.5,11.88,3.31,DeMar DeRozan,SG-SF,77.5,211.2,81.0,102.5,25292,5208,4869,1170,393,19315,9064,7778,6549,2379,1187,19.438079191238415
63,1628978,Villanova,34.5,42.0,10.72,3.11,Donte DiVincenzo,SG,75.5,200.6,78.0,97.5,4849,1953,1317,543,120,4046,1701,583,456,668,458,12.318777292576419
64,1631217,Michigan,29.0,36.5,11.16,3.26,Moussa Diabaté,C,81.25,216.60,86.5,109.5,491,512,64,58,49,346,201,146,88,72,104,8.64423076923077
65,1641711,Kansas,29.0,34.0,11.13,3.5,Gradey Dick,SG,78.25,204.00,80.75,101.0,1287,325,166,82,12,1092,454,206,177,133,114,9.403508771929825
66,1629652,Arizona State,32.5,38.0,10.79,3.22,Luguentz Dort,PG,74.75,222.2,80.5,99.5,4442,1403,585,348,150,3706,1511,868,686,406,363,11.418732782369146
67,1630245,Illinois,27.0,33.5,11.51,3.23,Ayo Dosunmu,SG,75.5,194.40,82.25,102.0,2856,811,912,233,109,2273,1140,344,266,379,279,11.939068100358423
68,1628408,South Carolina,34.0,39.0,10.84,3.15,PJ Dozier,SG,77.25,200.6,83.0,101.0,700,337,204,65,35,670,270,116,75,93,130,6.207692307692308
69,203083,Connecticut,31.5,33.5,10.83,3.39,Andre Drummond,C,81.75,278.6,90.25,109.5,13570,13076,1484,1383,1358,10542,5687,4359,2173,2064,1080,20.153703703703705
70,1630561,Providence,30.0,39.0,11.21,3.08,David Duke Jr.,SG,76.25,203.60,80.75,102.5,231,111,47,27,8,218,91,43,33,32,55,4.636363636363637
71,1642346,nan,32.0,38.5,10.99,3.12,Ryan Dunn,PF,78.25,213.60,85.5,103.0,511,267,57,44,40,477,205,39,19,40,74,7.9324324324324325
72,201142,Texas,26.0,33.5,12.33,3.45,Kevin Durant,SF-PF,81.0,215,88.75,110.0,31937,8141,5143,1208,1340,21861,11025,8605,7603,3710,1170,27.53931623931624
73,1641744,Purdue,26.0,29.5,11.37,3.45,Zach Edey,C,87.25,306.40,94.5,115.5,610,548,65,36,85,433,251,127,90,88,66,15.712121212121213
74,1642399,nan,30.5,35.5,11.24,3.33,Jesse Edwards,C,83.5,236.00,89.0,111.0,0,0,1,0,0,0,0,0,0,0,2,0.5
75,1642348,nan,28.0,32.5,12.07,3.18,Justin Edwards,SF,78.0,209.40,82.0,102.5,445,148,69,45,16,378,172,46,32,49,44,10.318181818181818
76,1630556,Pepperdine,28.0,37.0,11.3,3.25,Kessler Edwards,PF,79.0,203.00,83.25,106.0,745,451,134,86,60,670,283,71,55,88,214,4.602803738317757
77,1631165,Alabama,28.0,35.5,10.87,3.18,Keon Ellis,SG,75.5,167.40,80.5,102.0,1000,344,211,177,93,712,341,128,103,109,153,8.627450980392156
78,203957,nan,31.5,34.5,10.75,3.19,Danté Exum,SG,76.5,196.3,81.5,103.0,2150,690,768,148,60,1807,790,409,312,410,355,6.456338028169014
79,1628981,Maryland,29.0,35.0,12.19,3.23,Bruno Fernando,C,80.75,233.2,88.25,109.0,1113,904,199,65,147,813,446,325,214,199,289,6.0588235294117645
80,1642271,nan,27.0,32.5,11.43,3.19,Kyle Filipowski,PF,82.75,229.80,82.5,107.0,690,440,140,48,22,518,260,143,93,102,72,12.916666666666666
81,1627827,Virginia Tech,32.5,35.5,11.01,3.27,Dorian Finney-Smith,SF,78.5,212.6,83.75,105.5,6009,3235,1041,598,324,5045,2184,665,478,632,720,10.454166666666667
82,1641745,Presbyterian,31.0,36.0,10.96,3.24,Adam Flagler,PG,73.0,191.80,76.5,97.0,68,27,16,8,3,103,26,2,1,4,39,1.0256410256410255
83,1642280,nan,34.5,42.0,11.01,3.13,Trentyn Flowers,SF,78.5,201.40,80.25,100.5,11,4,0,0,0,11,4,3,3,1,6,1.1666666666666667
84,1642402,nan,30.5,35.0,10.99,3.26,Enrique Freeman,PF,79.25,212.00,86.0,108.0,46,30,9,3,3,37,16,19,13,6,22,2.6363636363636362
85,1642277,nan,25.5,32.0,11.15,3.2,Johnny Furphy,SF,79.5,188.80,80.0,104.5,103,71,19,18,11,92,35,22,18,12,50,2.98
86,1629655,Arkansas,32.5,36.5,11.61,3.25,Daniel Gafford,PF,81.25,237.6,86.5,110.0,4691,2920,541,281,812,2753,1955,1162,781,475,506,15.00197628458498
87,1630568,Iowa,24.0,29.5,11.9,3.51,Luka Garza,C,82.0,242.80,85.5,107.5,604,248,53,22,12,443,217,173,121,50,124,4.92741935483871
